เริ่มการรายงาน,สิ้นสุดการรายงาน,ชื่อแคมเปญ,วัตถุประสงค์,เริ่ม,สิ้นสุด,"จำนวนเงินที่ใช้จ่ายไป (THB)",การตั้งค่าการระบุที่มา,ผลลัพธ์,ตัวระบุผลลัพธ์,ต้นทุนต่อผลลัพธ์,การเข้าถึง,อิมเพรสชัน,การมีส่วนร่วมกับโพสต์,ThruPlay,การเข้าชมแลนดิ้งเพจ,การรับชมเนื้อหา,การหยิบใส่รถเข็น,การซื้อ,ค่าคอนเวอร์ชั่นการซื้อ
2022-01-03,2022-06-19,"Conversion - 3C0506 Flash sale 3.3 (2-4 Mar) ต้นฤดู",CONVERSIONS,2022-03-02,2022-03-02,0,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,0,0,,,,,,,
2022-01-03,2022-06-19,"Conversion - 3C0506 Flash sale 3.3 (2-4 Mar) ต้นฤดู",CONVERSIONS,2022-03-02,2022-03-04,2550.2,"การคลิกในช่วง 7 วัน",7,actions:offsite_conversion.fb_pixel_purchase,364.31428571429,11108,17238,167,,118,153,13,7,7550
2022-01-03,2022-06-19,"View Product - 3C0506 Flash sale 3.3 (2-4 Mar) ต้นฤดู",CONVERSIONS,2022-03-02,2022-03-03,1000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",88,conversions:offsite_conversion.fb_pixel_custom.ViewProduct,11.363636363636,11768,15062,242,,164,267,4,1,819
2022-01-03,2022-06-19,"Conversion - 3C0510 Promotion ยิ่งช้อปยิ่งคุ้ม (ต้นฤดู+หอมมะลิ100)",CONVERSIONS,2022-03-07,2022-03-14,9999.98,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",10,actions:offsite_conversion.fb_pixel_purchase,999.998,56976,109955,452,,109,319,25,10,10266
2022-01-03,2022-06-19,"Conversion - 3C0511 ""Promotion ช้อปข้าวออนไลน์  (หอมมะลิแท้+หอมคัดพิเศษ)""",CONVERSIONS,2022-03-07,2022-03-14,10000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",19,actions:offsite_conversion.fb_pixel_purchase,526.31578947368,38856,82850,490,,338,662,46,19,21716
2022-01-03,2022-06-19,"Conversion - 3C0510 Promotion ยิ่งช้อปยิ่งคุ้ม (ต้นฤดู+หอมมะลิ100)",CONVERSIONS,2022-03-11,2022-03-14,0,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,0,0,,,,,,,
2022-01-03,2022-06-19,"Conversion - 3C0607 Promotion HTxส.ขอนแก่น (Ecomm) : จับคู่ความอร่อยx2 ข้าวต้นฤดู แถมหมูฝอยใหญ่ 2ซอง",CONVERSIONS,2022-03-15,2022-03-25,10000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",30,actions:offsite_conversion.fb_pixel_purchase,333.33333333333,53600,118112,453,,132,291,43,30,31421.07
2022-01-03,2022-06-19,"Conversion - 3C0608 Promotion HTxส.ขอนแก่น (Ecomm) : เซตคุ้มอร่อยง่ายๆ ได้ทุกมื้อ (ข้าวถ้วย1 แถมหมูฝอยเล็ก1)",CONVERSIONS,2022-03-15,2022-03-25,1350.8,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",2,actions:offsite_conversion.fb_pixel_purchase,675.4,6850,10870,37,,4,28,1,2,1618
2022-01-03,2022-06-19,"Conversion - 3C0609 Promotion HTxส.ขอนแก่น (Ecomm) : ข้าวแพ็ค4 ถุง(ที่ร่วมรายการ) แลกซื้อหมูฝอยใหญ่ 1 ซอง",CONVERSIONS,2022-03-15,2022-03-25,6000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,111875,244610,2115,,1096,1395,1,2,1658
2022-01-03,2022-06-19,"Conversion : Add to cart - 3C0608	Promotion HTxส.ขอนแก่น (Ecomm) : เซตคุ้มอร่อยง่ายๆ ได้ทุกมื้อ (ข้าวถ้วย1 แถมหมูฝอยเล็ก1)",CONVERSIONS,2022-03-21,2022-03-25,2153.7,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",20,actions:offsite_conversion.fb_pixel_add_to_cart,107.685,9088,21269,226,,164,305,20,12,11526
2022-01-03,2022-06-19,"Conversion - 2IGC0606 Test IG Shopping Promotion",CONVERSIONS,2022-03-22,2022-03-25,1760.24,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",1,actions:offsite_conversion.fb_pixel_purchase,1760.24,14584,17252,37,,7,22,4,1,1089
2022-01-03,2022-06-19,"Conversion : View Product - 3C0607 Promotion HTxส.ขอนแก่น (Ecomm) : จับคู่ความอร่อยx2 ข้าวต้นฤดู แถมหมูฝอยใหญ่ 2ซอง (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,2499.99,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",239,actions:offsite_conversion.fb_pixel_view_content,10.460209205021,44024,117302,484,,241,239,2,,
2022-01-03,2022-06-19,"Conversion : View Product - 3C0608 Promotion HTxส.ขอนแก่น (Ecomm) : เซตคุ้มอร่อยง่ายๆ ได้ทุกมื้อ (ข้าวถ้วย1 แถมหมูฝอยเล็ก1) (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,2250.97,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",249,actions:offsite_conversion.fb_pixel_view_content,9.0400401606426,44584,120667,491,,247,249,,,
2022-01-03,2022-06-19,"Conversion : View Product - 3C0609 Promotion HTxส.ขอนแก่น (Ecomm) : ข้าวแพ็ค4 ถุง(ที่ร่วมรายการ) แลกซื้อหมูฝอยใหญ่ 1 ซอง (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,2500,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",512,actions:offsite_conversion.fb_pixel_view_content,4.8828125,40496,77418,599,,359,512,3,4,4634
2022-01-03,2022-06-19,"Conversion : Add to cart - 2IGC0606 Test IG Shopping Promotion (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,2694.44,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",3,actions:offsite_conversion.fb_pixel_add_to_cart,898.14666666667,15020,24694,58,,25,33,3,1,200
2022-01-03,2022-06-19,"Conversion : Add to cart IG - 3C0607 Promotion HTxส.ขอนแก่น (Ecomm) : จับคู่ความอร่อยx2 ข้าวต้นฤดู แถมหมูฝอยใหญ่ 2ซอง (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,3500,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",7,actions:offsite_conversion.fb_pixel_add_to_cart,500,19884,33031,79,,44,64,7,3,2763
2022-01-03,2022-06-19,"Conversion : Add to cart IG - 3C0608 Promotion HTxส.ขอนแก่น (Ecomm) : เซตคุ้มอร่อยง่ายๆ ได้ทุกมื้อ (ข้าวถ้วย1 แถมหมูฝอยเล็ก1) (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,2669.92,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",3,actions:offsite_conversion.fb_pixel_add_to_cart,889.97333333333,12888,22137,22,,11,17,3,,
2022-01-03,2022-06-19,"Conversion : Add to cart IG - 3C0609 Promotion HTxส.ขอนแก่น (Ecomm) : ข้าวแพ็ค4 ถุง(ที่ร่วมรายการ) แลกซื้อหมูฝอยใหญ่ 1 ซอง (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,3000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",10,actions:offsite_conversion.fb_pixel_add_to_cart,300,17552,29893,66,,44,88,10,2,1738
2022-01-03,2022-06-19,"Conversion : Add to cart - 3C0607 Promotion HTxส.ขอนแก่น (Ecomm) : จับคู่ความอร่อยx2 ข้าวต้นฤดู แถมหมูฝอยใหญ่ 2ซอง (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,4000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",4,actions:offsite_conversion.fb_pixel_add_to_cart,1000,39152,58243,273,,138,123,4,4,3731.72
2022-01-03,2022-06-19,"Conversion : Add to cart - 3C0608 Promotion HTxส.ขอนแก่น (Ecomm) : เซตคุ้มอร่อยง่ายๆ ได้ทุกมื้อ (ข้าวถ้วย1 แถมหมูฝอยเล็ก1) (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,3607.34,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",3,actions:offsite_conversion.fb_pixel_add_to_cart,1202.4466666667,30680,55147,217,,94,92,3,1,240
2022-01-03,2022-06-19,"Conversion : Add to cart - 3C0609 Promotion HTxส.ขอนแก่น (Ecomm) : ข้าวแพ็ค4 ถุง(ที่ร่วมรายการ) แลกซื้อหมูฝอยใหญ่ 1 ซอง (Dark post)",CONVERSIONS,2022-03-26,2022-04-05,4000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",6,actions:offsite_conversion.fb_pixel_add_to_cart,666.66666666667,39336,66980,322,,194,173,6,1,899
2022-01-03,2022-06-19,"Conversion : View Product - 3C0711 Promotion Flash Sale 4.4",CONVERSIONS,2022-04-03,2022-04-05,1999.76,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",12,conversions:offsite_conversion.fb_pixel_custom.ViewProduct,166.64666666667,76864,111670,4363,,2163,1699,,,
2022-01-03,2022-06-19,"Conversion - 3C0711 Promotion Flash Sale 4.4",CONVERSIONS,2022-04-03,2022-04-05,7398.62,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",48,actions:offsite_conversion.fb_pixel_purchase,154.13791666667,38448,82731,621,,190,656,86,48,46879
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C0711 Promotion Flash Sale 4.4",CONVERSIONS,2022-04-03,2022-04-05,1500,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",14,conversions:offsite_conversion.fb_pixel_custom.ViewProduct,107.14285714286,12364,24057,64,,57,123,6,3,1737
2022-01-03,2022-06-19,"Conversion IG - 3C0711 Promotion Flash Sale 4.4",CONVERSIONS,2022-04-03,2022-04-05,3000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",2,actions:offsite_conversion.fb_pixel_purchase,1500,19824,32386,60,,36,87,6,2,1718
2022-01-03,2022-06-19,"Conversion : View Product - 3C0712 Promotion สาดความสุข ลดดับร้อน (ต้นฤดู+หอมมะลิ100) 8-19 Apr",CONVERSIONS,2022-04-08,2022-04-19,2998.33,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",29,conversions:offsite_conversion.fb_pixel_custom.ViewProduct,103.39068965517,135297,224794,9190,,4266,3798,,,
2022-01-03,2022-06-19,"Conversion - 3C0712 Promotion สาดความสุข ลดดับร้อน (ต้นฤดู+หอมมะลิ100) 8-19 Apr",CONVERSIONS,2022-04-08,2022-04-19,7124.91,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",29,actions:offsite_conversion.fb_pixel_purchase,245.68655172414,28280,79024,2606,,1700,1354,66,29,25658
2022-01-03,2022-06-19,"Conversion : View Product - 3C0713 Promotion สาดความสุข ลดดับร้อน (ข้าวสุขภาพ) 8-19 Apr",CONVERSIONS,2022-04-08,2022-04-19,2689.57,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",527,actions:offsite_conversion.fb_pixel_view_content,5.1035483870968,67232,117293,1053,,533,527,,,
2022-01-03,2022-06-19,"Conversion - 3C0713 Promotion สาดความสุข ลดดับร้อน (ข้าวสุขภาพ) 8-19 Apr",CONVERSIONS,2022-04-08,2022-04-19,5075.83,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",11,actions:offsite_conversion.fb_pixel_purchase,461.43909090909,33128,69607,224,,119,292,25,11,6616
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C0712 Promotion สาดความสุข ลดดับร้อน (ต้นฤดู+หอมมะลิ100) 8-19 Apr",CONVERSIONS,2022-04-08,2022-04-19,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",56,actions:offsite_conversion.fb_pixel_view_content,35.714285714286,16112,39720,122,,66,56,,,
2022-01-03,2022-06-19,"Conversion IG - 3C0712 Promotion สาดความสุข ลดดับร้อน (ต้นฤดู+หอมมะลิ100) 8-19 Apr",CONVERSIONS,2022-04-12,2022-04-19,2000.64,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",5,actions:offsite_conversion.fb_pixel_purchase,400.128,12808,19802,61,,43,113,16,5,4224
2022-01-03,2022-06-19,"Conversion : View Product IG - 2IG0814 Promotion IG ต้นฤดูแพ็คคู่ แถมซูเปอร์ไรซ์ 13 - 20 Apr",CONVERSIONS,2022-04-13,2022-04-20,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",125,conversions:offsite_conversion.fb_pixel_custom.ViewProduct,16,19935,48074,133,,118,205,,,
2022-01-03,2022-06-19,"Conversion IG - 2IG0814 Promotion IG ต้นฤดูแพ็คคู่ แถมซูเปอร์ไรซ์ 13 - 20 Apr - สำเนา",CONVERSIONS,2022-04-13,2022-04-20,3019.21,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",2,actions:offsite_conversion.fb_pixel_purchase,1509.605,21380,32722,49,,32,69,2,2,1577
2022-01-03,2022-06-19,"Conversion : View Product - 3C0912 Promotion Hong Thong Payday (25 Apr - 1 May)",CONVERSIONS,2022-04-25,2022-05-01,2998.82,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",2589,actions:offsite_conversion.fb_pixel_view_content,1.158292777134,118304,181350,8395,,2909,2589,,,
2022-01-03,2022-06-19,"Conversion : View Product - 3C0913 Promotion Hong Thong Payday (25 Apr - 1 May) ต้นฤดู",CONVERSIONS,2022-04-25,2022-05-01,3000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",474,actions:offsite_conversion.fb_pixel_view_content,6.3291139240506,73792,118337,987,,434,474,6,,
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C0912 Promotion Hong Thong Payday (25 Apr - 1 May)",CONVERSIONS,2022-04-25,2022-05-01,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",126,actions:offsite_conversion.fb_pixel_view_content,15.873015873016,19256,36547,111,,71,126,,,
2022-01-03,2022-06-19,"Conversion - 3C0912 Promotion Hong Thong Payday (25 Apr - 1 May)",CONVERSIONS,2022-04-25,2022-05-01,10000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",65,actions:offsite_conversion.fb_pixel_purchase,153.84615384615,56432,120455,1669,,796,1074,78,65,62322.53
2022-01-03,2022-06-19,"Conversion - 3C0913 Promotion Hong Thong Payday (25 Apr - 1 May) ต้นฤดู",CONVERSIONS,2022-04-25,2022-05-01,2115.1,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",5,actions:offsite_conversion.fb_pixel_purchase,423.02,12452,20590,115,,62,103,16,5,4255
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C0913 Promotion Hong Thong Payday (25 Apr - 1 May) ต้นฤดู",CONVERSIONS,2022-04-25,2022-05-01,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",84,actions:offsite_conversion.fb_pixel_view_content,23.809523809524,20316,38970,98,,56,84,1,,
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C0901 Promotion Flash Sale 5.5",CONVERSIONS,2022-05-04,2022-05-06,1500,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",46,actions:offsite_conversion.fb_pixel_view_content,32.608695652174,20480,31912,47,,33,46,,,
2022-01-03,2022-06-19,"Conversion : View Product - 3C0901 Promotion Flash Sale 5.5",CONVERSIONS,2022-05-04,2022-05-06,1999.22,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",1010,actions:offsite_conversion.fb_pixel_view_content,1.9794257425743,91087,121969,3112,,1114,1010,1,1,759
2022-01-03,2022-06-19,"Conversion - 3C0901 Promotion Flash Sale 5.5",CONVERSIONS,2022-05-04,2022-05-06,8600,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",108,actions:offsite_conversion.fb_pixel_purchase,79.62962962963,41192,82017,1085,,460,1012,131,108,112396
2022-01-03,2022-06-19,"Conversion IG - 3C0901 Promotion Flash Sale 5.5",CONVERSIONS,2022-05-04,2022-05-06,1210.43,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",3,actions:offsite_conversion.fb_pixel_purchase,403.47666666667,12732,15928,33,,27,72,7,3,2097
2022-01-03,2022-06-19,"Conversion : View Product - 3C1011 ต่อเวลาวันหยุด เพิ่มความ (สุก)  ด้วยข้าวหงษ์ทอง x ส.ขอนแก่น",CONVERSIONS,2022-05-09,2022-05-14,1995.86,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",1076,actions:offsite_conversion.fb_pixel_view_content,1.8548884758364,93264,139620,2816,,1110,1076,,,
2022-01-03,2022-06-19,"Conversion - 3C1011 ต่อเวลาวันหยุด เพิ่มความ (สุก)  ด้วยข้าวหงษ์ทอง x ส.ขอนแก่น",CONVERSIONS,2022-05-09,2022-05-15,5679.84,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",30,actions:offsite_conversion.fb_pixel_purchase,189.328,24000,62312,825,,333,512,30,30,29449.51
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C1011 ต่อเวลาวันหยุด เพิ่มความ (สุก)  ด้วยข้าวหงษ์ทอง x ส.ขอนแก่น",CONVERSIONS,2022-05-09,2022-05-14,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",68,actions:offsite_conversion.fb_pixel_view_content,29.411764705882,24351,47149,110,,64,68,,,
2022-01-03,2022-06-19,"Conversion : View Product - 3C1014 Promotion HTxSKK ข้าวถ้วย+หมูหยอง40g (9-15 May)",CONVERSIONS,2022-05-09,2022-05-15,2500,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",419,actions:offsite_conversion.fb_pixel_view_content,5.9665871121718,31089,58132,853,,373,419,,1,799
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C1014 Promotion HTxSKK ข้าวถ้วย+หมูหยอง40g (9-15 May)",CONVERSIONS,2022-05-09,2022-05-15,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",93,actions:offsite_conversion.fb_pixel_view_content,21.505376344086,29681,48126,129,,80,93,,,
2022-01-03,2022-06-19,"Conversion - 3C1014 Promotion HTxSKK ข้าวถ้วย+หมูหยอง40g (9-15 May)",CONVERSIONS,2022-05-10,2022-05-15,446.26,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",1,actions:offsite_conversion.fb_pixel_purchase,446.26,2356,3649,27,,11,22,1,1,729
2022-01-03,2022-06-19,"Conversion : View Product - 3C1013 Promotion HTxSKK ข้าว+กุนเชียง260g (15 May)",CONVERSIONS,2022-05-15,2022-05-15,1000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",163,actions:offsite_conversion.fb_pixel_view_content,6.1349693251534,29392,33073,328,,159,163,,,
2022-01-03,2022-06-19,"Conversion - 3C1013 Promotion HTxSKK ข้าว+กุนเชียง260g (15 May)",CONVERSIONS,2022-05-15,2022-05-15,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",6,actions:offsite_conversion.fb_pixel_purchase,333.33333333333,18204,25130,95,,51,132,8,6,6273
2022-01-03,2022-06-19,"Conversion : View Product IG - 3C1013 Promotion HTxSKK ข้าว+กุนเชียง260g (15 May)",CONVERSIONS,2022-05-15,2022-05-15,500,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",14,actions:offsite_conversion.fb_pixel_view_content,35.714285714286,10484,11436,29,,14,14,,,
2022-01-03,2022-06-19,"Conversion - 3C1113 6.6 Flash sale shop.hongthongrice",CONVERSIONS,2022-06-05,2022-06-07,5680.04,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",41,actions:offsite_conversion.fb_pixel_purchase,138.53756097561,27624,58643,613,,159,406,50,41,39385.87
2022-01-03,2022-06-19,"Conversion - 3C1205 Promotion ข้าวหอม 100% (8 - 14 June)",CONVERSIONS,2022-06-08,2022-06-14,1928.93,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",3,actions:offsite_conversion.fb_pixel_purchase,642.97666666667,7804,19463,75,,25,84,5,3,2087
